YEAR, r1i1p1f3, r2i1p1f3, r3i1p1f3, Ensemble-mean,
1850.00, 0.236476, 0.0231626, 0.163069, 0.140903,
1851.00, 0.0820933, 0.0403153, 0.156873, 0.0930938,
1852.00, 0.0270628, 0.0566745, -0.0189231, 0.0216047,
1853.00, 0.00366890, 0.125017, 0.0766256, 0.0684371,
1854.00, -0.140408, 0.0350728, -0.230459, -0.111932,
1855.00, 0.269902, -0.0192992, 0.122768, 0.124457,
1856.00, 0.0357910, -0.0260666, 0.173885, 0.0612030,
1857.00, 0.00888775, 0.0250728, 0.190729, 0.0748964,
1858.00, 0.0855441, 0.104410, 0.174613, 0.121522,
1859.00, 0.155022, -0.0397252, -0.200840, -0.0285143,
1860.00, 0.308866, -0.133512, -0.0100773, 0.0550923,
1861.00, -0.0442780, 0.00850405, -0.0550607, -0.0302782,
1862.00, 0.0172824, 0.0111137, 0.0284038, 0.0189333,
1863.00, -0.119876, -3.96743e-05, 0.156513, 0.0121992,
1864.00, -0.149083, 0.312017, 0.0488805, 0.0706048,
1865.00, 0.217300, 0.192719, 0.0357772, 0.148599,
1866.00, 0.149079, 0.0132034, -0.0524088, 0.0366246,
1867.00, -0.118133, -0.124061, 0.222265, -0.00664274,
1868.00, 0.182607, -0.0902481, -0.0955879, -0.00107630,
1869.00, 0.0667497, -0.241775, 0.139541, -0.0118281,
1870.00, 0.0578788, 0.0980342, 0.197926, 0.117946,
1871.00, -0.0616880, 0.0208172, 0.0316970, -0.00305795,
1872.00, 0.0888600, 0.0248888, 0.0627392, 0.0588293,
1873.00, 0.107033, 0.152519, 0.201805, 0.153786,
1874.00, -0.0872955, -0.0287055, -0.0979782, -0.0713264,
1875.00, -0.114596, -0.149314, -0.230412, -0.164774,
1876.00, -0.274841, -0.0708222, -0.0375001, -0.127721,
1877.00, -0.0563623, -0.124568, -0.182833, -0.121254,
1878.00, -0.101093, -0.0253422, -0.229279, -0.118571,
1879.00, -0.0781415, 0.0745961, 0.0379959, 0.0114835,
1880.00, -0.0660597, 0.122757, 0.0742248, 0.0436408,
1881.00, -0.104731, -0.136331, -0.0588793, -0.0999805,
1882.00, -0.0736181, -0.239721, -0.0420288, -0.118456,
1883.00, -0.152152, -0.0861481, -0.187617, -0.141972,
1884.00, -0.233609, -0.162535, -0.147112, -0.181086,
1885.00, -0.243244, -0.152815, -0.0864388, -0.160832,
1886.00, 0.183947, -0.178705, -0.135098, -0.0432854,
1887.00, -0.172892, -0.104325, -0.311863, -0.196360,
1888.00, -0.282781, -0.345438, -0.0933250, -0.240515,
1889.00, -0.418700, -0.183958, -0.466145, -0.356268,
1890.00, -0.112112, -0.0444887, 0.0362666, -0.0401114,
1891.00, -0.415030, -0.115585, -0.305054, -0.278556,
1892.00, -0.0525041, -0.116361, -0.103401, -0.0907553,
1893.00, -0.198393, -0.293229, 0.0623121, -0.143103,
1894.00, -0.229292, -0.0407880, 0.00964216, -0.0868126,
1895.00, -0.111999, 0.00156984, -0.230818, -0.113749,
1896.00, -0.344012, -0.127405, 0.156859, -0.104852,
1897.00, 0.0208826, -0.348950, -0.00243244, -0.110167,
1898.00, -0.358017, -0.344872, -0.337053, -0.346647,
1899.00, -0.0473219, -0.281423, -0.0866493, -0.138465,
1900.00, -0.385810, -0.250503, -0.195654, -0.277322,
1901.00, -0.179394, -0.383697, -0.00568965, -0.189593,
1902.00, 0.0997084, -0.455014, -0.437012, -0.264106,
1903.00, -0.146635, -0.0610762, -0.233583, -0.147098,
1904.00, -0.459111, -0.250394, -0.282105, -0.330537,
