YEAR, r1i1p1f3, r2i1p1f3, r3i1p1f3, Ensemble-mean,
1850.00, 0.182614, 0.354348, 0.0679444, 0.201636,
1851.00, 0.164284, 0.0698880, 0.265863, 0.166679,
1852.00, 0.327221, 0.457337, 0.0798550, 0.288138,
1853.00, 0.188286, 0.244445, 0.403632, 0.278788,
1854.00, 0.117294, 0.138314, 0.342616, 0.199408,
1855.00, 0.209016, 0.366085, 0.130823, 0.235308,
1856.00, 0.352856, 0.157946, 0.263146, 0.257983,
1857.00, 0.163857, 0.0774444, 0.318086, 0.186462,
1858.00, 0.0482741, 0.334445, 0.145925, 0.176215,
1859.00, 0.159207, 0.182479, 0.170613, 0.170767,
1860.00, 0.421584, 0.376867, 0.248461, 0.348971,
1861.00, -0.0619542, -0.252044, -0.150451, -0.154817,
1862.00, -0.191439, -0.172373, -0.348156, -0.237323,
1863.00, -0.120059, 0.235001, -0.00971654, 0.0350751,
1864.00, 0.0287164, 0.0800527, 0.198755, 0.102508,
1865.00, 0.249229, 0.406164, 0.316595, 0.323996,
1866.00, -0.0348242, 0.371274, 0.164956, 0.167135,
1867.00, 0.212297, 0.152452, 0.323620, 0.229456,
1868.00, -0.0370106, 0.110220, -0.0562653, 0.00564791,
1869.00, 0.190567, 0.211197, 0.218788, 0.206851,
1870.00, 0.578817, 0.193649, 0.347264, 0.373243,
1871.00, 0.0864637, 0.356405, 0.404008, 0.282292,
1872.00, 0.230557, 0.0814236, 0.295777, 0.202586,
1873.00, -0.269384, -0.135871, -0.0715606, -0.158938,
1874.00, 0.248130, 0.0942454, 0.169567, 0.170648,
1875.00, 0.307934, 0.108659, 0.274303, 0.230299,
1876.00, 0.187186, 0.289311, 0.106537, 0.194345,
1877.00, 0.102656, 0.164852, 0.313123, 0.193544,
1878.00, 0.0453104, 0.396666, 0.0281384, 0.156705,
1879.00, -0.00533976, 0.426372, 0.0642299, 0.161754,
1880.00, 0.206383, 0.0280910, -0.198539, 0.0119783,
1881.00, -0.0341966, 0.0430380, -0.0623847, -0.0178478,
1882.00, 0.144549, -0.00656902, 0.382138, 0.173373,
1883.00, -0.821210, -0.614537, -0.616999, -0.684249,
1884.00, -2.21639, -2.01477, -2.05567, -2.09561,
1885.00, -0.602742, -0.509483, -0.335491, -0.482572,
1886.00, 0.178171, 0.0103798, 0.0783530, 0.0889680,
1887.00, 0.0952040, -0.153959, 0.0756954, 0.00564693,
1888.00, 0.104352, 0.226627, 0.261602, 0.197527,
1889.00, 0.339082, 0.281837, 0.0539236, 0.224947,
1890.00, 0.0944320, 0.169010, 0.0916887, 0.118377,
1891.00, 0.149702, -0.130132, -0.292620, -0.0910164,
1892.00, 0.299959, 0.154332, 0.312318, 0.255537,
1893.00, 0.338531, 0.108392, 0.151974, 0.199632,
1894.00, 0.361813, 0.115199, 0.213945, 0.230319,
1895.00, 0.242723, 0.268669, 0.406590, 0.305994,
1896.00, 0.351540, 0.439218, -0.127616, 0.221047,
1897.00, 0.00477996, 0.425160, 0.174719, 0.201553,
1898.00, -0.166329, 0.186793, 0.0356940, 0.0187194,
1899.00, 0.286072, 0.0468171, 0.377078, 0.236656,
1900.00, -0.0224525, 0.0119570, 0.129469, 0.0396580,
1901.00, 0.106624, 0.0754815, 0.190452, 0.124186,
1902.00, 0.00681238, -0.0458612, 0.0210493, -0.00599985,
1903.00, -0.824273, -0.615721, -0.773338, -0.737777,
1904.00, -0.292475, -0.310424, -0.375748, -0.326216,
1905.00, 0.196325, 0.0838686, 0.0605013, 0.113565,
1906.00, 0.197090, 0.0294049, 0.264241, 0.163579,
1907.00, -0.134389, 0.0696059, -0.152000, -0.0722610,
1908.00, 0.335856, -0.115130, 0.0789861, 0.0999040,
1909.00, 0.124417, 0.249580, 0.284640, 0.219546,
1910.00, 0.209403, 0.560425, 0.231631, 0.333820,
1911.00, -0.00199850, 0.274153, 0.263272, 0.178475,
1912.00, -0.367479, -0.430150, -0.453092, -0.416907,
1913.00, -0.213518, -0.529325, -0.0906212, -0.277822,
1914.00, 0.197267, -0.130775, 0.0583569, 0.0416164,
1915.00, 0.249307, 0.390825, 0.0879995, 0.242711,
1916.00, 0.408575, 0.365808, 0.219250, 0.331211,
1917.00, 0.303949, 0.177828, 0.162593, 0.214790,
1918.00, 0.331246, 0.294719, 0.418506, 0.348157,
1919.00, 0.320756, 0.287736, 0.244962, 0.284485,
1920.00, 0.179468, 0.213854, 0.0798274, 0.157717,
1921.00, 0.363690, 0.510453, 0.205547, 0.359897,
1922.00, 0.0661608, 0.217801, 0.228884, 0.170948,
1923.00, 0.314980, 0.540281, 0.269377, 0.374879,
1924.00, 0.593257, 0.408216, 0.205289, 0.402254,
1925.00, 0.136637, -0.0247722, 0.391563, 0.167809,
1926.00, 0.563906, 0.160140, -0.0331625, 0.230295,
1927.00, 0.455241, 0.184230, 0.283675, 0.307715,
1928.00, -0.0402036, 0.201204, 0.313199, 0.158066,
1929.00, -0.0500240, -0.0728106, -0.0152809, -0.0460385,
1930.00, 0.487967, 0.161140, 0.108728, 0.252611,
1931.00, 0.354371, 0.621567, 0.299156, 0.425031,
1932.00, 0.148517, -0.0402118, 0.266347, 0.124884,
1933.00, 0.494453, 0.356716, 0.596497, 0.482555,
1934.00, 0.543581, 0.182120, 0.375410, 0.367037,
1935.00, 0.417103, 0.376631, 0.244351, 0.346028,
1936.00, 0.577701, 0.524026, 0.151542, 0.417757,
1937.00, 0.342290, 0.582373, 0.378991, 0.434551,
1938.00, 0.133115, 0.249877, 0.400767, 0.261253,
1939.00, 0.511189, 0.361005, 0.0392103, 0.303801,
1940.00, 0.409219, 0.520803, 0.172961, 0.367661,
1941.00, 0.246049, 0.190328, 0.0837155, 0.173364,
1942.00, 0.436962, 0.283127, 0.272848, 0.330979,
1943.00, 0.408829, 0.129409, 0.320933, 0.286390,
1944.00, 0.239572, 0.0349167, 0.383597, 0.219362,
1945.00, 0.533080, 0.191959, 0.520834, 0.415291,
1946.00, 0.426616, 0.402785, 0.322877, 0.384093,
1947.00, 0.351869, 0.572664, 0.477578, 0.467371,
1948.00, 0.106285, 0.252517, 0.556956, 0.305253,
1949.00, 0.403271, 0.162270, 0.164146, 0.243229,
1950.00, 0.0746245, 0.430315, 0.148787, 0.217909,
1951.00, 0.393317, 0.205056, 0.499030, 0.365801,
1952.00, 0.300998, 0.341018, 0.0185235, 0.220180,
1953.00, 0.236801, 0.194619, 0.358929, 0.263450,
1954.00, 0.233845, 0.299811, 0.161693, 0.231783,
1955.00, 0.426272, 0.264620, 0.170768, 0.287220,
1956.00, 0.254873, 0.485320, 0.236998, 0.325731,
1957.00, 0.293006, 0.214216, 0.430275, 0.312499,
1958.00, 0.133803, 0.552454, 0.179132, 0.288463,
1959.00, 0.128149, 0.558982, 0.158604, 0.281912,
1960.00, 0.275929, 0.0995970, 0.258898, 0.211475,
1961.00, -0.0961909, 0.166116, 0.118983, 0.0629695,
1962.00, -0.189405, -0.271985, -0.145857, -0.202416,
1963.00, -0.940787, -1.06469, -1.03403, -1.01317,
1964.00, -0.505969, -0.765971, -0.639577, -0.637172,
1965.00, -0.195206, -0.341094, -0.188825, -0.241709,
1966.00, 0.112021, -0.103194, 0.138535, 0.0491205,
1967.00, -0.0425598, -0.0791731, 0.0134170, -0.0361053,
1968.00, -0.0966889, 0.00499363, 0.0660664, -0.00854294,
1969.00, 0.358070, 0.195538, 0.337621, 0.297076,
1970.00, 0.213538, 0.00336295, 0.109169, 0.108690,
1971.00, -0.0609864, 0.124433, 0.0756043, 0.0463503,
1972.00, -0.0673189, 0.0435108, -0.129395, -0.0510677,
1973.00, 0.260248, -0.274985, 0.139434, 0.0415657,
1974.00, -0.0295405, -0.0198929, 0.0584515, 0.00300605,
