YEAR, r1i1p1f3, r2i1p1f3, r3i1p1f3, Ensemble-mean,
1850.00, 0.225027, -0.210706, 0.222667, 0.0789961,
1851.00, 0.0940365, 0.0436428, -0.0782504, 0.0198096,
1852.00, -0.111967, 0.0653779, -0.0626968, -0.0364286,
1853.00, 0.0831299, 0.0132890, 0.168986, 0.0884683,
1854.00, 0.344306, 0.157062, 0.107007, 0.202792,
1855.00, 0.0574566, -0.141208, 0.148053, 0.0214340,
1856.00, 0.137027, 0.113687, 0.172294, 0.141003,
1857.00, 0.345435, 0.0199403, 0.0889025, 0.151426,
1858.00, -0.242839, -0.138345, 0.138646, -0.0808461,
1859.00, -0.290045, 0.0878020, 0.234083, 0.0106134,
1860.00, 0.109943, 0.0722874, -0.131841, 0.0167964,
1861.00, 0.0657493, 0.314903, -0.164168, 0.0721613,
1862.00, 0.0442090, 0.331069, 0.0162254, 0.130501,
1863.00, 0.208968, 0.211477, 0.358260, 0.259568,
1864.00, 0.265240, 0.117903, 0.273294, 0.218812,
1865.00, 0.375526, 0.151982, 0.200161, 0.242556,
1866.00, 0.0320105, 0.288634, 0.0402503, 0.120298,
1867.00, 0.311032, -0.0235054, 0.412438, 0.233322,
1868.00, 0.178833, 0.210880, 0.0708036, 0.153506,
1869.00, 0.122079, 0.104395, -0.00859907, 0.0726249,
1870.00, 0.213009, 0.00391692, 0.232761, 0.149896,
1871.00, 0.407905, 0.0690985, 0.226446, 0.234483,
1872.00, 0.477157, 0.212944, 0.349984, 0.346695,
1873.00, 0.360297, 0.131087, 0.353944, 0.281776,
1874.00, 0.131064, -0.173834, 0.0195854, -0.00772820,
1875.00, 0.150462, 0.0872303, -0.0617639, 0.0586427,
1876.00, 0.212284, 0.235971, 0.287429, 0.245228,
1877.00, 0.293574, 0.471482, 0.289333, 0.351463,
1878.00, 0.347348, 0.391128, 0.176800, 0.305092,
1879.00, 0.246738, 0.217791, 0.0930460, 0.185858,
1880.00, 0.158141, 0.448037, 0.214868, 0.273682,
1881.00, 0.195047, 0.337074, 0.192544, 0.241555,
1882.00, 0.150685, 0.422963, 0.0358469, 0.203165,
1883.00, 0.159891, 0.117564, 0.429364, 0.235606,
1884.00, 0.333933, 0.461322, 0.282162, 0.359139,
1885.00, 0.275019, 0.282263, 0.153725, 0.237002,
1886.00, 0.301649, 0.391520, 0.507821, 0.400330,
1887.00, 0.344650, 0.325202, 0.306822, 0.325558,
1888.00, 0.463973, 0.393612, -0.0491695, 0.269472,
1889.00, 0.291745, 0.436058, 0.281379, 0.336394,
1890.00, 0.399217, 0.301332, 0.312242, 0.337597,
1891.00, 0.191348, 0.558536, 0.262091, 0.337325,
1892.00, 0.242635, 0.104986, 0.207848, 0.185156,
1893.00, 0.210769, 0.165399, 0.246946, 0.207705,
1894.00, 0.282491, 0.303433, 0.126679, 0.237534,
1895.00, 0.402818, 0.0291529, 0.254652, 0.228874,
1896.00, 0.368310, 0.476527, 0.306267, 0.383701,
1897.00, 0.237377, 0.422983, 0.328745, 0.329702,
1898.00, 0.209320, 0.327676, 0.395188, 0.310728,
1899.00, 0.441060, 0.361149, 0.171944, 0.324717,
1900.00, 0.321906, 0.428586, 0.340307, 0.363600,
1901.00, 0.336947, 0.308444, 0.432005, 0.359132,
1902.00, 0.325107, 0.655257, 0.455904, 0.478756,
1903.00, 0.233163, 0.488516, 0.686606, 0.469428,
1904.00, 0.336189, 0.401568, 0.455383, 0.397713,
1905.00, 0.619634, 0.395546, 0.516247, 0.510475,
1906.00, 0.353121, 0.559661, 0.475080, 0.462621,
1907.00, 0.557194, 0.501440, 0.313082, 0.457239,
1908.00, 0.364792, 0.279530, 0.350793, 0.331705,
1909.00, 0.488604, 0.527904, 0.314825, 0.443778,
1910.00, 0.568882, 0.361386, 0.313296, 0.414522,
1911.00, 0.471606, 0.767886, 0.424289, 0.554594,
1912.00, 0.421286, 0.524492, 0.529955, 0.491911,
1913.00, 0.472450, 0.563868, 0.534896, 0.523738,
1914.00, 0.202114, 0.736352, 0.743655, 0.560707,
1915.00, 0.701604, 0.397458, 0.470590, 0.523217,
1916.00, 0.521644, 0.604217, 0.457020, 0.527627,
1917.00, 0.478294, 0.521020, 0.404076, 0.467796,
1918.00, 0.776061, 0.703150, 0.425698, 0.634970,
1919.00, 0.692935, 0.389497, 0.694288, 0.592240,
1920.00, 0.347779, 0.476474, 0.825719, 0.549991,
1921.00, 0.542513, 0.804008, 0.730015, 0.692179,
1922.00, 0.719809, 0.758599, 0.507923, 0.662110,
1923.00, 0.627619, 0.682290, 0.527518, 0.612476,
1924.00, 0.703750, 0.517685, 0.647388, 0.622941,
1925.00, 0.627589, 0.853774, 0.935795, 0.805719,
1926.00, 0.560585, 0.824871, 0.911091, 0.765516,
1927.00, 0.559299, 0.748835, 0.683367, 0.663834,
1928.00, 0.807483, 0.442500, 0.730719, 0.660234,
1929.00, 0.769596, 0.903877, 0.645792, 0.773088,
1930.00, 0.634931, 0.745764, 0.604720, 0.661805,
1931.00, 0.871648, 0.868375, 0.698726, 0.812916,
1932.00, 0.720962, 0.581288, 0.637571, 0.646607,
1933.00, 0.738456, 0.795574, 0.620137, 0.718055,
1934.00, 0.622786, 0.854384, 0.526118, 0.667763,
1935.00, 0.634766, 0.819362, 0.561088, 0.671738,
1936.00, 0.634999, 1.03084, 0.792225, 0.819356,
1937.00, 0.623041, 0.991783, 0.727328, 0.780717,
1938.00, 0.740420, 0.942797, 0.696966, 0.793395,
1939.00, 0.720670, 0.781938, 0.956215, 0.819608,
1940.00, 0.894618, 0.827514, 0.847465, 0.856532,
1941.00, 0.790004, 0.665519, 0.651230, 0.702251,
1942.00, 0.923802, 0.991220, 0.721939, 0.878987,
1943.00, 0.640824, 0.849785, 0.908871, 0.799827,
1944.00, 0.840194, 0.985142, 1.10012, 0.975151,
1945.00, 0.875265, 0.910290, 0.671026, 0.818860,
1946.00, 0.690982, 0.681684, 0.933959, 0.768875,
1947.00, 0.695898, 1.04725, 1.05505, 0.932733,
1948.00, 0.731183, 1.06399, 0.851635, 0.882271,
1949.00, 1.02534, 1.09440, 0.609352, 0.909700,
1950.00, 0.954141, 0.785157, 1.10760, 0.948966,
1951.00, 1.17005, 0.546555, 0.909344, 0.875315,
1952.00, 1.06420, 0.960983, 1.07893, 1.03470,
1953.00, 1.03981, 0.996131, 0.679370, 0.905102,
1954.00, 1.01958, 0.998991, 0.918179, 0.978918,
1955.00, 0.986398, 0.754404, 1.16196, 0.967587,
1956.00, 1.04974, 0.891789, 0.751453, 0.897661,
1957.00, 1.16341, 1.02163, 1.01682, 1.06729,
1958.00, 0.755257, 1.18045, 0.973263, 0.969656,
1959.00, 0.989171, 1.03249, 0.990333, 1.00400,
1960.00, 0.886753, 1.02611, 1.05406, 0.988974,
1961.00, 1.11820, 0.834127, 0.882073, 0.944800,
1962.00, 1.40075, 1.28241, 1.31026, 1.33114,
1963.00, 1.03171, 1.14170, 1.08868, 1.08737,
1964.00, 1.06911, 1.08811, 1.33857, 1.16526,
1965.00, 1.03969, 1.01142, 1.19561, 1.08224,
1966.00, 1.00815, 1.22593, 1.28150, 1.17186,
1967.00, 1.42446, 1.15161, 1.42151, 1.33252,
1968.00, 1.05512, 1.12512, 1.15368, 1.11131,
1969.00, 1.60103, 1.29971, 1.31846, 1.40640,
1970.00, 1.63404, 1.36428, 1.35781, 1.45204,
1971.00, 1.56602, 1.22011, 1.41605, 1.40073,
1972.00, 1.41468, 1.39878, 1.37068, 1.39471,
1973.00, 1.75461, 1.53629, 1.28962, 1.52684,
1974.00, 1.42430, 1.53847, 1.52072, 1.49449,
1975.00, 1.51821, 1.45741, 1.56864, 1.51475,
1976.00, 1.59730, 1.58457, 1.45816, 1.54668,
1977.00, 1.57400, 1.55788, 1.76045, 1.63078,
1978.00, 1.33220, 1.43941, 1.84723, 1.53961,
1979.00, 1.71659, 1.46275, 1.63906, 1.60613,
1980.00, 1.65134, 1.57393, 1.57838, 1.60122,
1981.00, 1.90368, 1.81099, 1.83142, 1.84870,
1982.00, 1.99962, 1.87117, 2.08918, 1.98666,
1983.00, 1.91197, 1.94890, 1.98590, 1.94892,
1984.00, 1.84044, 2.12754, 2.19386, 2.05395,
1985.00, 1.94390, 2.10465, 2.07012, 2.03956,
1986.00, 1.79021, 2.04169, 2.13683, 1.98958,
1987.00, 1.97783, 2.16830, 2.31605, 2.15406,
1988.00, 2.42115, 2.28480, 2.21497, 2.30698,
1989.00, 2.27435, 2.03947, 2.31827, 2.21070,
1990.00, 2.26531, 2.36652, 2.34162, 2.32448,
1991.00, 2.34325, 2.37748, 2.18792, 2.30288,
1992.00, 2.33219, 2.25956, 2.37016, 2.32064,
1993.00, 2.39727, 2.06967, 2.17549, 2.21414,
1994.00, 2.38293, 2.45960, 2.23801, 2.36018,
1995.00, 2.36223, 2.33153, 2.39363, 2.36246,
1996.00, 2.59563, 2.22663, 2.64596, 2.48940,
1997.00, 2.66946, 2.20948, 2.37451, 2.41782,
1998.00, 2.30242, 2.50197, 2.37870, 2.39437,
1999.00, 2.50251, 2.52041, 2.61088, 2.54460,
2000.00, 2.73512, 2.43592, 2.49622, 2.55575,
2001.00, 2.59460, 2.83372, 2.46844, 2.63225,
2002.00, 2.63912, 2.58786, 2.49356, 2.57351,
2003.00, 2.72013, 2.66748, 2.67988, 2.68916,
2004.00, 2.80954, 2.51244, 2.81040, 2.71080,
2005.00, 3.02334, 2.69804, 2.87488, 2.86542,
2006.00, 2.50959, 2.83706, 2.73655, 2.69440,
