YEAR, r1i1p1f3, r2i1p1f3, r3i1p1f3, Ensemble-mean,
1850.00, 0.334892, 0.0955896, 0.263438, 0.231307,
1851.00, 0.358115, 0.327274, 0.195818, 0.293736,
1852.00, -0.0946718, 0.348677, 0.199446, 0.151150,
1853.00, 0.259761, 0.271455, 0.0768107, 0.202676,
1854.00, 0.288191, 0.159928, 0.0681793, 0.172100,
1855.00, 0.278007, 0.173585, 0.221322, 0.224305,
1856.00, 0.284332, 0.304604, 0.396205, 0.328380,
1857.00, 0.398069, 0.181076, 0.258285, 0.279144,
1858.00, -0.00574824, 0.243542, 0.351426, 0.196407,
1859.00, 0.0469181, 0.117805, -0.0545748, 0.0367160,
1860.00, 0.291269, 0.227014, 0.294337, 0.270873,
1861.00, -0.108565, -0.261210, -0.233315, -0.201030,
1862.00, -0.451429, -0.331383, -0.114017, -0.298943,
1863.00, -0.209232, 0.231623, -0.0497009, -0.00910345,
1864.00, 0.0864103, 0.400477, 0.0252411, 0.170710,
1865.00, 0.477980, 0.423811, -0.259551, 0.214080,
1866.00, 0.422225, 0.318562, 0.182646, 0.307811,
1867.00, 0.214617, 0.237556, 0.280271, 0.244148,
1868.00, 0.296156, 0.410885, 0.136539, 0.281193,
1869.00, 0.178726, 0.120835, 0.0824844, 0.127348,
1870.00, 0.415020, 0.274544, 0.314609, 0.334724,
1871.00, 0.213471, 0.275006, 0.325030, 0.271169,
1872.00, 0.151980, 0.104896, 0.184775, 0.147217,
1873.00, 0.126459, -0.0699723, 0.00391921, 0.0201353,
1874.00, 0.377823, 0.0765376, 0.296848, 0.250403,
1875.00, 0.277063, 0.0983065, 0.202756, 0.192708,
1876.00, 0.0960967, 0.158934, 0.408820, 0.221283,
1877.00, 0.228912, 0.103588, 0.336637, 0.223046,
1878.00, 0.0918463, 0.107272, 0.417480, 0.205533,
1879.00, 0.270595, 0.201568, 0.239918, 0.237360,
1880.00, 0.227519, 0.0907278, 0.0710019, 0.129749,
1881.00, 0.253045, 0.321387, 0.209864, 0.261432,
1882.00, 0.225612, 0.249872, 0.192618, 0.222701,
1883.00, -0.674241, -0.541866, -0.801168, -0.672425,
1884.00, -2.17335, -2.19666, -2.15197, -2.17399,
1885.00, -0.641320, -0.656558, -0.463337, -0.587071,
1886.00, -0.0813562, -0.216616, -0.166637, -0.154870,
1887.00, 0.0363367, -0.0758870, -0.0723490, -0.0372998,
1888.00, 0.348141, 0.0127693, 0.0230015, 0.127971,
1889.00, -0.0264792, 0.157850, 0.104893, 0.0787545,
1890.00, 0.358436, -0.343068, -0.0280822, -0.00423800,
1891.00, -0.160297, -0.0998079, -0.279736, -0.179947,
1892.00, 0.320878, -0.0642727, -0.0954751, 0.0537099,
1893.00, 0.462955, 0.126763, 0.296395, 0.295371,
1894.00, 0.472874, 0.101635, 0.302294, 0.292268,
1895.00, 0.0725016, 0.356201, 0.198546, 0.209083,
1896.00, 0.179640, 0.200663, 0.0712824, 0.150528,
1897.00, 0.341312, 0.0540695, 0.225078, 0.206820,
1898.00, 0.107133, 0.135102, 0.0456081, 0.0959475,
1899.00, 0.179523, 0.173835, -0.0291651, 0.108065,
1900.00, 0.115394, 0.121150, 0.325078, 0.187207,
1901.00, 0.0632226, 0.283386, 0.0288730, 0.125160,
1902.00, -0.276249, 0.136031, -0.121983, -0.0874004,
1903.00, -0.874942, -0.640661, -0.689693, -0.735099,
1904.00, -0.0498305, -0.0246921, -0.0348839, -0.0364689,
1905.00, -0.0522722, 0.192585, 0.212101, 0.117471,
1906.00, 0.170912, 0.0339488, 0.297832, 0.167564,
1907.00, 0.00207936, 0.0228206, 0.0460573, 0.0236524,
1908.00, 0.116326, 0.141480, 0.221199, 0.159668,
1909.00, 0.443032, 0.212371, 0.00454909, 0.219984,
1910.00, 0.353144, 0.186875, 0.184135, 0.241385,
1911.00, 0.113730, 0.137126, 0.0715317, 0.107463,
1912.00, -0.335338, 0.0668945, -0.202916, -0.157120,
1913.00, 0.00519474, -0.458365, -0.328481, -0.260550,
1914.00, -0.0308840, -0.0298030, 0.00266070, -0.0193421,
1915.00, 0.229442, 0.0638277, 0.414954, 0.236075,
1916.00, 0.308221, 0.303594, 0.608933, 0.406916,
1917.00, 0.277851, 0.193218, 0.136717, 0.202596,
1918.00, 0.335114, 0.0536934, 0.284650, 0.224486,
1919.00, 0.252915, 0.129561, 0.319520, 0.233999,
1920.00, 0.205704, 0.342723, 0.00367902, 0.184035,
1921.00, -0.0710279, 0.514006, 0.288220, 0.243733,
1922.00, 0.348056, 0.297517, -0.0875304, 0.186014,
1923.00, 0.111064, -0.0691187, 0.175516, 0.0724869,
1924.00, 0.235475, 0.118470, -0.0477544, 0.102064,
1925.00, 0.224777, 0.246184, 0.0710335, 0.180665,
1926.00, 0.199171, 0.553230, 0.156418, 0.302940,
1927.00, 0.279718, 0.509387, 0.341547, 0.376884,
1928.00, 0.238206, 0.237367, 0.225471, 0.233681,
1929.00, 0.0905589, -0.0286393, -0.0928029, -0.0102944,
1930.00, 0.0187815, 0.194931, 0.278818, 0.164177,
1931.00, 0.403675, 0.321852, 0.394313, 0.373280,
1932.00, 0.175692, -0.0911460, 0.00424656, 0.0295975,
1933.00, -0.0769372, 0.0661796, -0.0189003, -0.00988596,
1934.00, 0.128952, 0.195125, 0.111646, 0.145241,
1935.00, 0.271078, 0.0745884, 0.195643, 0.180436,
1936.00, 0.432117, 0.440486, 0.326127, 0.399576,
1937.00, 0.532420, 0.281584, 0.412496, 0.408833,
1938.00, -0.0685462, 0.331812, 0.145174, 0.136147,
1939.00, 0.152291, 0.513573, 0.374300, 0.346721,
1940.00, 0.172125, 0.383328, 0.137285, 0.230913,
1941.00, 0.136074, 0.441070, 0.286389, 0.287844,
